Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Quiz 8,Quiz 9,Quiz 10,Quiz - best 7,Mid Sem,EndSemMarks,Challenge 1,Challenge 2,Challenge 3,Apr 15 - Challenge,Goal Setting Task,Proxy Penalty,Total  Extra points,Total - best,Total/100,Grade
0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,0,-10,-10,9,9,F
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,10,10,F
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,10,10,F
0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,10,10,F
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,10,10,F
0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,10,10,F
0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,12,12,F
0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,12,12,F
2,0,0,0,0,0,0,5,0,0,7,,,,,,,0,,0,12,12,F
0,0,0,1,0,0,0,0,0,0,1,2,0,,,,,0,,0,13,13,F
0,2,0,1,7,0,0,0,0,0,10,0,,,,,,0,,0,13,13,F
8,9,0,0,0,0,0,0,0,0,17,,,,,,,,,0,15,15,F
2,3,0,0,0,0,0,0,0,0,5,2,,,,,,0,,0,14,14,F
0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,0.2,,0.2,13,13,F
0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,0,,0,14,14,F
0,0,0,0,0,5,0,0,0,0,5,3,12,,,,,0,,0,25,25,E
6,5,1,0,2,0,0,0,0,0,14,2,,,,,,,,0,16,16,F
0,0,0,0,0,0,0,0,0,0,0,6,2,,,,,0,,0,17,17,F
2,0,0,0,0,0,0,0,0,0,2,6,1,,,,,0,,0,17,17,F
1,0,0,0,0,0,0,0,0,0,1,6,2,,,,,0,,0,18,18,F
0,0,0,0,0,0,0,1,0,0,1,2,7,,,,,0,,0,19,19,F
0,0,0,0,0,0,0,0,0,0,0,2,6,,,,,1.4,,1.4,19,19,F
0,0,0,0,0,0,0,0,0,0,0,10,0,,,,,0,,0,20,20,E
0,0,0,0,0,0,0,1,0,0,1,2,8,,,,,0,,0,20,20,E
0,0,0,0,0,0,0,0,0,0,0,4.5,6,,,,,2.5,,2.5,21,21,E
2,0,1,0,1,5,0,0,0,0,9,1.5,9,,,,,0,,0,23,23,E
0,0,0,0,0,2,0,0,0,2,4,3,10,,,,,0,,0,23,23,E
0,2,10,0,0,0,0,0,3,0,15,8,,,,,,0,,0,23,23,E
10,10,10,10,0,0,0,0,0,0,40,4,0,,,,,0,,0,26,26,E
3,8,9.5,8,0,5,8,0,10,0,51.5,0,10,,,,,0,-10,-10,25,25,E
0,1,0,0,0,4,4,0,3,0,12,8,6,,,,,0,,0,24,24,E
3,10,0,0,0,0,0,0,1,0,14,10,7,,,,,0.2,,0.2,27,27,E
0,0,5,0,0,0,0,0,0,0,5,16,,,,,,0,,0,28,28,E
0,0,0,2,2,0,0,0,0,0,4,8,14,,,,,0.3,,0.3,29,29,E
0,0,0,1,0,1,5,2,4,7,20,10,6,,,,,,,,29,29,E
2,0,0,3,1,0,9,2,5,0,22,2,12,,,,,0,,0,30,30,D
0,0,0,0,0,0,0,0,0,0,0,15,11,,,,,0,,0,30,30,D
0,0,0,0,0,0,0,0,0,0,0,2,20,,,,,0,,0,31,31,D
0,0,0,2,0,0,10,1,1,0,14,11,12,,,,,0,,0,31,31,D
0,0,6,0,0,0,0,0,0,0,6,14,12,,,,,0,,0,31,31,D
10,0,10,10,0,5,0,5,3,0,43,11,,,,,,0.3,,0.3,34,34,D
0,3,1,0,0,0,6,0,0,1,11,13,10,,,,,0,,0,31,31,D
2,3,6,6,4,0,10,9,5,6,46,7,10,,,,,,,,36,36,D
0,0,10,7,0,0,0,0,0,0,17,1.5,15,,,,,0.6,,0.6,32,32,D
0,0,0,0,0,0,0,0,0,0,0,6.5,19,,,,,0,,0,32,32,D
0,0,0,0,0,0,0,0,0,0,0,1,21,,,,,0,,0,32,32,D
2,0,0,4,3,0,0,1,6,0,16,7,16,,,,,0,,0,34,34,D
0,10,6,0,0,0,0,4,3,0,23,6,13,,,,,0.5,,0.5,33,33,D
0,9,10,0,5,0,0,0,0,0,24,16,,,,,,0,,0,33,33,D
3,9,1,1,0,0,0,0,1,0,15,6,15,,,,,1.4,,1.4,34,34,D
6,2,1,10,4,0,5,1,0,0,29,11,12,,,,,0.3,,0.3,35,35,D
8,0,6,0,1,0,8,0,0,1,24,0,19,,,,,0,,0,36,36,D
0,0,0,0,0,5,0,0,0,0,5,2,15,,,,,6.6,,6.6,34,34,D
0,0,10,0,0,0,0,0,0,0,10,10,17,,,,,0,,0,34,34,D
1,9,10,3,1,3,1,6,5,0,37,12,8,,,,,0,,0,36,36,D
0,0,0,0,0,0,0,0,0,0,0,5,22,,,,,1.7,,1.7,36,36,D
0,0,4,1,0,5,0,7,5,5,27,7,15,,,,,,,0,36,36,D
7,0,0,0,0,0,0,0,0,0,7,8,22,,,,,0,,0,38,38,D
0,0,0,0,0,10,0,0,0,0,10,23,,,,,,0,,0,36,36,D
0,0,0,0,1,0,9,0,1,0,11,9,19,,,,,0.9,,0.9,37,37,D
0,4,0,5,0,3,6,2,0,0,20,0,13,,,,,8.3,,8.3,38,38,D
4,6,8,0,8,3,5,2,3,5,39,11,11,,,,,1.4,,1.4,38,38,D
6,0,0,2,0,0,8,5,0,0,21,0,33,,,,0,0,-10,-10,39,39,D
0,2,0,0,0,1,0,0,0,0,3,6,24,,,,,0,,0,38,38,D
0,4,0,0,1,5,6,1,0,0,17,15,12,,,,,3.1,,3.1,38,38,D
1,8,4,3,0,0,10,2,0,0,28,,14,,,,7,0,,7,39,39,D
2,0,0,8,8,5,9,3,4,8,45,7,11,,,,-3,5.2,,2.2,39,39,D
10,10,10,10,10,10,0,3,6,6,66,16,11,,,,,0,-10,-10,40,40,C-
0,0,10,0,0,5,7,0,0,2,24,11,18,,,,,0,,0,40,40,C-
0,0,10,10,0,0,0,0,0,0,20,1,23,,,,,0.8,,0.8,40,40,C-
0,5,2,1,0,3,0,0,6,0,17,5,23,,,,,0,,0,40,40,C-
9,4,2,0,1,4,0,0,3,0,23,12,21,,,,,0,,0,43,43,C-
0,0,0,0,0,0,0,0,0,0,0,12,22,,,,,3.8,,3.8,41,41,C-
0,2,0,4,0,0,3,8,1,0,18,0,23,,,,,2.3,,2.3,41,41,C-
0,7,0,6,2,2,9,0,7,2,35,4,21,,,,7,1.2,-10,-1.8,41,41,C-
10,8,10,8,0,0,0,0,0,6,42,3,20,,,,0,0.5,,0.5,44,44,C-
0,0,0,0,0,0,0,0,0,0,0,5,29,,,,,0,,0,41,41,C-
10,8,0,2,0,5,3,0,0,2,30,13,28,,,,,0.2,-10,-9.8,42,42,C-
0,0,0,0,0,4,0,0,8,10,22,0,25,,,,,0,,0,42,42,C-
0,0,0,0,0,0,0,0,6,4,10,0,29,,,,,0,,0,42,42,C-
6,0,4,6,0,5,8,10,6,10,51,12,14,,,,,0.2,,0.2,44,44,C-
0,0,0,0,0,4,0,0,0,0,4,4,30,,,,,0,,0,43,43,C-
9,0,10,5,1,5,5,0,0,1,36,18,14,,,,,0,,0,44,44,C-
0,3,3,4,1,6,3,8,5,4,33,20,10,,,,,0,,0,44,44,C-
0,4,4,5,6,7,2,6,8,6,42,8,16,,,,,2.5,,2.5,44,44,C-
2,5,8,0,2,4,10,0,3,1,34,12,19,,,,,0,,0,44,44,C-
0,0,8,0,3,4,0,0,0,0,15,14,24,,,,,0.2,,0.2,45,45,C-
0,10,4,7,4,6,1,1,3,2,36,20,9,,,,,0.5,,0.5,45,45,C-
0,1,8,0,0,0,0,0,0,0,9,12,27,,,,,0,,0,45,45,C-
0,5,5,3,1,4,9,6,7,9,45,14,27,,,,,0,-10,-10,46,46,C-
0,0,2,3,0,0,0,0,0,0,5,1,34,,,,,0,,0,46,46,C-
10,9,10,6,0,3,5,2,7,6,53,0,11,,,,5,6.9,,11.9,49,49,C-
0,6,0,4,1,5,0,6,6,1,29,9,25,,,,,2,,2,49,49,C-
3,0,9.5,10,0,0,0,4,7,3,36.5,5,27,,,,,0.3,,0.3,50,50,C
9,2,8,0,6,10,0,0,1,1,37,22,31,,,,,0.3,-10,-9.7,51,51,C
10,10,6,0,0,5,0,0,9,3,43,10,25,,,,,0,,0,52,52,C
9,4,9,2,0,0,9,4,0,8,45,14,20,,,,,2.6,,2.6,52,52,C
10,5,3,5,2,2,0,3,1,0,30,6,30,,,,,1.2,,1.2,53,53,C
8,10,2,8,0,2,9,3,9,5,52,7,23,,,,0,0.8,,0.8,52,52,C
0,5,6,10,0,10,0,5,7,0,43,12,22,,,,,0,,0,50,50,C
0,4,0,9,4,4,4,2,8,3,36,10.5,25,,,,,0.2,,0.2,50,50,C
0,0,0,3,4,0,0,3,7,0,17,18,22,,,,,5.1,,5.1,50,50,C
10,10,6,10,9,2,10,8,3,4,63,,24,,,,,0.2,,0.2,53,53,C
10,10,4,0,4,0,8,9,3,4,49,22,30,,,,,0.2,-10,-9.8,53,53,C
0,0,2,0,0,10,10,5,8,4,39,9,26,,,,,0,,0,51,51,C
0,0,9.5,9,0,10,5,5,10,0,48.5,8,24,,,,,0,,0,52,52,C
0,0,2,9,4,8,5,9,3,2,40,13,25,,,,,0.3,,0.3,52,52,C
0,10,10,8,0,10,3,8,7,6,59,11,20,,,,,0,,0,52,52,C
1,4,0,9,9,5,9,2,2,2,40,,30,,,,,0.3,,0.3,52,52,C
10,5,0,5,0,4,0,10,9,10,53,0,26,,,,,1.8,,1.8,53,53,C
0,10,10,10,4,5,0,0,3,0,42,17,23,,,,,1.1,,1.1,53,53,C
7,10,10,2,6,0,8,10,0,3,54,13,23,,,,,0,,0,54,54,C
10,10,8,0,10,10,8,0,0,0,56,23,16,,,,,0.2,,0.2,56,56,C
10,6,0,10,0,10,0,5,7,6,54,15,24,,,,,0,,0,56,56,C
9,2,9,2,2,2,8,5,0,10,45,9,26,1,,,,1.8,,2.8,56,56,C
0,0,8,7,0,7,2,2,10,10,46,16,25,,,,,,,0,55,55,C
0,5,0,2,0,4,0,1,0,9,21,20,41,,,,,0,-10,-10,55,55,C
2,0,9,5,1,2,8,8,5,0,39,7,38,,,,,3.5,-10,-6.5,56,56,C
0,0,0,0,8,0,4,5,0,8,25,0,37,,,,,0.9,,0.9,56,56,C
0,10,10,8,4,5,0,0,3,0,40,22,26,,,,,0,,0,57,57,C
6,5,0,7,10,0,0,9,8,8,53,12,26,,,,,3.5,,3.5,60,60,B-
10,10,1,1,0,3,3,5,8,5,44,13,22,,,,9,2,,11,61,61,B-
0,10,4,9,0,10,0,8,0,6,47,19,28,,,,,0.9,,0.9,60,60,B-
3,5,8,4,1,7,8,0,0,6,41,29,18,,,,,1.4,,1.4,60,60,B-
0,5,2,0,6,4,8,9,6,10,48,19,31,,,,-3,0.2,,-2.8,60,60,B-
8,0,9.5,0,4,5,0,6,5,8,45.5,28,27,,,,,0.2,,0.2,62,62,B-
0,0,0,2,0,5,3,0,0,4,14,10,40,,,,2,0,,2,60,60,B-
10,10,3,10,6,7,3,0,6,4,53,17,24,,,,5,0.2,,5.2,62,62,B-
0,0,0,0,0,3,0,0,9,0,12,11,37,,,,2,2.9,,4.9,60,60,B-
1,7,3,3,1,4,0,1,8,0,27,25,31,,,,,1.1,,1.1,60,60,B-
0,3,2,7,1,5,9,0,8,8,42,2,38,,,,,0.2,,0.2,61,61,B-
10,10,9.5,8,4,10,10,5,10,0,67.5,21,24,,,,,0.2,,0.2,62,62,B-
10,10,10,9,4,10,10,10,9,8,69,30,32,,,,,1.8,,1.8,76,76,B
10,10,10,10,0,0,0,0,8,6,54,13,25,,,,7,1.5,,8.5,65,65,B-
2,10,10,4,2,2,8,0,5,4,43,19,42,,,,,0.2,-10,-9.8,63,63,B-
0,5,5,6,3,4,3,10,6,9,45,15,31,,,,,2.8,,2.8,63,63,B-
6,0,6,5,10,10,9,4,5,1,51,16,32,,,,,0.3,,0.3,64,64,B-
0,10,7.5,9,5,5,10,10,6,10,62.5,18,27,,,,,1.2,,1.2,64,64,B-
6,10,8,7,1,6,9,9,6,10,59,9,33,,,,,0.3,,0.3,64,64,B-
0,4,7,8,1,6,0,0,8,5,39,21.5,26,,,,,8.2,,8.2,64,64,B-
4,5,5,8,9,7,10,2,8,10,57,17,31,,,,,0,,0,65,65,B-
8,2,0,0,4,0,5,0,10,6,35,19,39,,,,,0,,0,67,67,B-
10,7,6,10,2,8,4,10,9,6,60,14,26,,,,5,1.8,,6.8,66,66,B-
2,7,8,0,1,3,9,10,7,2,46,25,31,,,,,0.8,,0.8,65,65,B-
10,10,10,10,5,0,1,5,8,7,60,29,24,,,,,0,,0,66,66,B-
10,5,4,9,2,4,0,2,5,5,42,22.5,36,,,,,0.2,,0.2,68,68,B-
0,0,0,7,10,6,10,10,10,10,63,15,24,,,,,7.5,,7.5,66,66,B-
0,0,0,0,0,7,10,0,0,9,26,35,32,,,,,0,,0,66,66,B-
2,8,8,1,2,8,10,8,6,7,55,18.5,27,,,,,5.4,,5.4,66,66,B-
0,10,8,4,8,0,9,10,10,8,63,18,30,,,,,0.3,,0.3,66,66,B-
2,5,8,10,0,0,8,1,1,10,44,12,30,,,,8,1.2,,9.2,67,67,B-
10,0,0,9.5,8,5,10,0,10,10,62.5,22,28,,,,5,0,,5,70,70,B
10,9,0,0,4,4,10,0,0,7,44,28,35,,,,,0.2,,0.2,69,69,B-
6,0,4,10,8,0,10,9,3,2,50,31,27,,,,,1.4,,1.4,68,68,B-
8,8,10,9,9,7,10,10,9,10,67,18,30,,,,,1.4,,1.4,68,68,B-
6,10,10,1,0,2,0,1,4,10,43,15,29,,,,5,6.6,,11.6,69,69,B-
0,10,9.5,7,4,5,5,8,0,6,50.5,10,40,,,,,0,,0,69,69,B-
0,4,0,5,10,10,8,10,2,0,49,21,36,,,,,0,,0,69,69,B-
8,10,10,10,0,5,0,0,7,3,53,16,36,,,,2,1.1,,3.1,71,71,B
0,0,7,9,8,0,10,9,8,10,61,17,32,,,,,3.2,,3.2,70,70,B
0,5,1,3,2,5,5,10,5,3,36,16,27,,,,10,5.5,,15.5,70,70,B
8,9,10,4,10,5,10,10,10,3,67,24,29,,,,,3.8,,3.8,72,72,B
8,10,10,7,8,0,5,9,10,6,62,32,31,,,,,0,,0,73,73,B
10,10,5,9.5,0,10,0,5,0,10,59.5,33,34,,,,,1.2,,1.2,76,76,B
6,10,10,10,8,5,10,0,5,0,59,14,41,,,,,0,,0,74,74,B
7,10,8,9,2,9,9,7,9,7,61,32,30,,,,,2,,2,74,74,B
8,0,0,7,6,10,6,9,9,10,59,11,35,,,,,8.3,,8.3,75,75,B
0,0,9.5,10,4,5,7,5,5,3,45.5,15,46,,,,,0,,0,75,75,B
2,10,0,9,6,6,10,7,7,6,55,18,40,,,,,2,,2,75,75,B
10,4,0,0,9,7,8,5,6,3,49,34,21,,,,9,0.8,,9.8,77,77,B
0,5,4,3,1,4,0,10,0,6,33,14,44,,,,,5.1,,5.1,75,75,B
0,0,5,0,7,9,10,0,7,10,48,13,47,,,,,0,,0,76,76,B
6,8,10,10,0,5,4,3,7,6,52,5,40,,,,2,7.5,,9.5,77,77,B
3,2,10,9,2,0,8,10,5,10,55,36,36,,,,,0,,0,77,77,B
10,4,4,0,4,4,10,6,10,6,50,30,41,,,,,0.2,,0.2,78,78,B
0,9,10,10,6,5,9,6,8,5,58,11,37,,,,7,1.2,,8.2,77,77,B
0,10,10,10,0,6,10,6,1,9,61,24,39,,,,,0,,0,77,77,B
8,6,10,5,6,0,9,10,8,10,61,38,24,,,,,1.4,,1.4,77,77,B
0,3,5,9,7,7,10,10,4,9,57,18,38,,,,,5.2,,5.2,77,77,B
10,0,9.5,9,0,10,5,7,10,0,60.5,30,39,,,,,1.4,,1.4,80,80,A-
10,10,10,10,0,6,10,3,7,3,63,36,30,,,,,2.2,,2.2,79,79,B
2,5,3,7,5,10,8,10,10,9,59,18,32,,,,10,0.9,,10.9,77,77,B
8,10,10,10,10,9,9,10,9,10,69,33,29,,,,,1.8,,1.8,77,77,B
10,10,6,10,0,0,10,9,5,3,60,30,25,1,1,1,,9.4,,12.4,80,80,A-
10,10,4,9,10,10,0,10,9,7,68,31,37,,,,,0.3,,0.3,80,80,A-
5,10,10,10,0,5,7,4,10,0,57,16,45,,,,,2,,2,80,80,A-
10,10,10,8,1,9.5,0,4,6,2,57.5,47,21,,,,,0.2,,0.2,83,83,A-
0,10,3,2,7,3,8,9,9,10,56,33,41,,,,,0,,0,81,81,A-
10,10,10,10,8,10,10,5,10,6,70,7,42,,,,,6.5,,6.5,82,82,A-
10,9,9.5,7,8,10,10,10,10,10,69.5,23,40,,,,,1.5,,1.5,81,81,A-
10,10,0,0,0,6,0,4,5,10,45,23,39,,,,10,0.8,,10.8,82,82,A-
10,10,10,9,9,6,5,5,10,10,68,27,41,,,,,1.1,,1.1,83,83,A-
6,10,8,4,8,5,10,9,8,10,63,21,47,,,,,0.3,,0.3,84,84,A-
10,10,10,8,2,8,7,7,6,6,60,27,46,,,,,0.3,,0.3,85,85,A-
6,9,10,6,2,5,0,10,8,8,57,10,40,,,1,7,5.2,,13.2,84,84,A-
9,10,10,5,0,5,10,10,0,10,64,28,35,,,,8,2,,10,85,85,A-
10,0,10,9,5,5,10,4,10,6,60,33,42,,,,,3.7,,3.7,87,87,A-
7,10,10,8,1,0,9,10,7,9,63,24,45,,,,,2.3,,2.3,85,85,A-
10,10,5,10,8,10,0,8,10,8,66,24,46,,,,,1.5,,1.5,86,86,A-
10,10,7,9,0,0,9,9,10,3,64,17,42,,,,8,2.5,,10.5,88,88,A-
9,9,7,5,8,5,0,8,10,10,61,12,43,,,,10,0.8,-10,0.8,77,77,B
0,10,6,8,3,8,9,10,10,9,64,18,36,,,,10,4.6,,14.6,87,87,A-
10,8,5,9,6,10,5,10,9,10,66,34,45,,,,,0,,0,88,88,A-
6,9,8,5,1,1,8,9,0,8,53,25,41,1,1,,8,1.7,,11.7,88,88,A-
0,10,10,0,9,9,10,10,0,10,68,17,45,,,,,5.1,,5.1,87,87,A-
8,10,0,0,10,6,10,10,3,10,64,33,47,,,,,0,,0,89,89,A-
6,10,4,5,0,5,8,5,3,10,49,25,47,,,,,6.8,,6.8,88,88,A-
10,10,10,10,0,8,10,10,10,0,70,34,45,,,,,0,,0,89,89,A-
0,0,6,0,6,0,9,9,0,10,40,44,49,,,,,0,,0,89,89,A-
0,5,9,10,9,5,10,10,8,10,66,40,45,,,,,0,,0,90,90,A
10,10,8,10,9,10,9,10,10,7,69,26,41,,1,1,8,2.2,,12.2,94,94,A
10,10,10,10,2,10,10,10,10,10,70,35,49,,,,,1.5,,1.5,95,95,A
7,5,4,10,8,0,10,5,10,10,60,49,47,,,,,0.8,,0.8,96,96,A
8,10,9.5,0,9,6,9.5,0,10,7,63,47,50,,,,,0.2,,0.2,97,97,A
10,10,9,10,10,6,7,2,8,9,66,30,50,,1,,10,4.5,,15.5,107,100,A
10,9,8,5,10,0,9,1,4,10,61,29,47,,,,5,9.4,,14.4,101,100,A
10,8,10,10,9,5,10,6,3,10,67,26,50,,,,8,4.5,,12.5,103,100,A
9,10,10,10,10,10,10,0,10,10,70,50,50,1,1,1,,1.1,,4.1,105,100,A
5,10,10,7,2,8,10,5,10,9,64,15,50,,,,10,5.8,,15.8,101,100,A
10,10,10,10,2,10,0,10,10,10,70,50,49,,,,,0,,0,100,100,A
10,10,10,8,2,8,10,10,10,10,70,25,42,,,,10,9.7,,19.7,102,100,A
10,10,10,9.5,10,0,0,10,0,7,66.5,48,48,,,,10,6.9,,16.9,114,100,A
10,9,0,9.5,9,9,0,10,10,7,66.5,42,45,1,,,10,1.2,,12.2,103,100,A
10,10,10,10,10,10,3,10,10,10,70,50,49,,1,,,3.2,,4.2,104,100,A
10,0,10,9,10,5,10,9,3,10,68,45,48,1,1,,8,0.6,,10.6,107,100,A
8,10,10,10,9,5,10,10,5,10,69,42,43,,1,1,,9.4,,11.4,101,100,A